id,execution_time,fitness,timespan,solution_vector,metaheuristic_type,test_name
5009,0.3083534240722656,49.0,47.0,"[0.9785933447353806, -0.5724516650230538, 2.7564122559111603, 1.1659863820364276, 0.7422532903134167, 0.4794631920388457, -0.2914918352608816, -0.2768900811309459, -2.0030837916080158, -1.2605480744099993, 4.497247107178171, 1.0646746970629617, -2.416254216827756, -0.9661018641152694, -1.273968353202253, 3.3269760513292517, 1.7504789103386658, -0.4252170436035336, 0.11783775506897973, 3.0353390762247874, -0.7494668455603669, -1.3496522742342176, -0.24417427597566352, 2.1490899472949097, -1.3566035449923919, -0.07115063482405376, -0.3669056645760811, 2.2787212889651447, -0.5671500181194072, -2.2528102933863936, -0.19362221120649034, 3.154422212797071, 2.0038253017306626, 1.8436348453700633, -1.11201546067352, 0.33498887163611557, -1.1376404962344377, 1.3358728254067875, 0.28561685799679976, 1.1342356048900717, 0.2995003701403361, 1.9319601111771594, -0.8708904046852936, 0.03753520185942874, -0.1374951487715345, 1.2774539251542156, 0.3470075263259333, 0.4499975298201185, -1.2892375323920982, -2.0253386658789356, -0.8005143248251563, 1.7614175780908348, 0.37378290296984645, 2.400506694729635, 1.9919339993397454, 3.193820571856986, -0.30540258556607, -0.19538878724387354, 0.721545057147432, -0.35048618813932697, -0.31088250233273673, -0.18187091714213938, 0.1729684659111488, -1.3098124094834591, -0.13072907027603714, -0.13668055984339378, 1.6875716404772232, 2.4389189920241767, 1.1840531602896591, 1.3195444411444595]",Simulated Annealing,TC_MK01_NORMAL
10018,0.3034555912017822,48.0,47.0,"[0.3598159762999502, 1.3172747077787164, 1.7044532170047337, 2.821724059874788, 1.2764615032559679, -0.2437069123173231, -1.001239473740017, 3.830932603092211, -1.0837146319740159, 0.501022557735637, 0.32551874013254933, -0.45111264877514634, -0.24385169784215147, -0.28027815906210946, 1.864372046165625, -1.7477620280201247, 2.4869625618573625, -0.4737949752179835, 0.5696997755942054, 3.1851317540704738, 2.652426843996822, -0.7920849270345858, -1.165956988792159, 1.4415344867250723, 0.8355915862567007, 1.092065728779251, 0.31167455136928, 1.9196758727548322, 2.1437546323862944, 0.09671623578593896, 2.8821936506098798, -2.039183540444477, 1.4045531454042521, 4.1926526364941505, -0.09281435608117986, 2.714865422691052, 0.3846357946450909, 1.7811566435758652, 1.667872876927168, -0.7416405704713941, -1.5964758375693615, -0.06807121055044549, 1.6749885364987491, 2.271086298412747, -1.214039239483846, -0.4056442027026313, 0.7082756727083399, -1.0965507740549407, -0.2226035100707225, 0.2324850968397763, 3.4008917292823315, -0.13483072090371329, 0.2878257411315976, -2.766025075937232, -0.8116302819597456, 2.733541745541732, -2.307300262738274, -1.7095130796169673, 1.8578718153596376, 1.9491977764006811, 1.6514496486979628, -1.1041016029666988, 3.2502210842081807, -1.626277410844474, 0.24809035950396433, -0.4952768758248843, -1.15133342960509, 0.31305975227062804, -1.6206355113501374, 1.087356159339003]",Simulated Annealing,TC_MK01_NORMAL
15027,0.2949943542480469,48.0,47.0,"[-0.5384708067563257, 3.225362608524429, -3.0528924312392682, 1.4229159833719252, 0.08734511369382117, -1.5340626809323203, 0.4875679162227421, 0.6379090338248482, -0.47150216685995183, 0.1068793328698065, 2.2802444752601696, 1.1046625084371817, 2.336194806329046, 1.0493389909529593, -0.5482188935082561, -0.5108940816933807, 3.0692420039017296, 1.243600254889768, 1.5866462557222232, -0.23006845280002877, 2.499032670816605, 1.4866157347076092, 1.7610034443305087, 2.79198223219909, -0.6565226309646814, -3.839885820008752, 0.41285726867040246, -0.24462987778337267, 2.050771310116941, -0.015544771208963581, 0.6386226098218708, 0.44041617568685576, -0.5498416470941891, -1.1846117275850323, -1.2191688018263935, 1.6563265212675549, 0.40412603819133003, 0.16220809875989295, 0.1366352049173794, -1.097686632787064, 0.5169311812851222, -0.3834893266568862, 0.3213973562617438, -0.7797117705695223, -0.27463067360116655, 4.200951696593309, -1.0548637505324554, 0.5492985206553588, 0.040189714358181174, -0.8031798560517953, 1.8198538970129576, -0.7134812876379413, 3.4518754428710343, -0.8882065491303252, 1.39584225553959, 1.0477169648295535, -0.23403184715325231, 2.4289007525096347, 0.28775539565742625, 0.03431393510060393, 0.3656590219803364, 0.806925887192171, 0.9010020225423023, -0.6372605489589438, 0.9633348641771537, -0.37307310772035834, -1.4060800531579554, -0.07669777436163083, 1.0626643680102614, -0.004617819459082337]",Simulated Annealing,TC_MK01_NORMAL
20036,0.3433268070220947,48.0,47.0,"[1.130721585297679, -0.36570351888676145, 1.1993514608438907, 2.470529261281016, -0.2921153015811157, 0.006967809516109091, 0.5657351205597433, 0.34601041685085876, 1.7473491383052504, -0.5018571944767198, 1.1988364402646026, 0.7099195991725511, 0.7882197644573339, -0.7369912071377265, 0.7482660615778551, 0.9233506804143958, 0.5516714013920753, 2.50122280164755, -1.03337936671107, -0.8294594274825349, 0.14925998133409135, -0.25332558273144257, 0.4787911816191207, 1.178696784668909, -0.15589604477751284, 2.2998379413207677, 1.908142639946263, 2.222122106702659, 0.5206292545403074, 0.8123488049350864, -0.1392801156145212, 0.28905769809527887, -0.9014514878842966, 0.7960795581592195, -0.7020433879830918, 2.8809966359852712, -0.382562970116455, 1.8996985817340264, 0.28794203541462426, 0.3068979969297101, 0.9946673428214476, 1.8289604133466564, -0.2584190917173757, 0.27284638791673277, 1.1429116598484363, 1.8358306953935173, 0.48590200436292896, 0.8507657444416964, -0.808607289152655, -0.27232281108833684, 0.3912867294979441, 1.462078024148741, 0.43554220129926796, 1.4248350902247493, 0.9628447180771463, 1.3418980155739646, 0.643288300169274, 0.12158735745884186, 2.0341276685549547, 0.41628522963252074, 0.36822092724908395, 0.704187594526124, 1.322371483980145, 0.6827447114416699, -1.7133197927267778, 0.7245137334647952, 0.15165013429726146, 1.1598129214777693, -1.3919322729020969, 0.33374430430379676]",Simulated Annealing,TC_MK01_NORMAL
25045,0.3083958625793457,49.0,47.0,"[-0.5277705787236122, -0.07912637540374627, -0.9060863027694567, 0.8256721785019697, 0.8130686545887628, 0.4664318375491913, 2.309110061064025, 0.922637383180662, -0.014834066209741231, 0.023794094537161067, 1.1964626116460233, 2.4990943175333182, 1.8435067153420601, 2.407228969384795, -0.7108214578189384, 1.1148622004136601, 2.208913583321338, -0.3831131922172775, 2.267490464750022, -1.206582007826597, 1.1059643363190759, 1.2010512873173895, 0.48039071778053655, 0.6767167005443716, 1.9388682121598992, 4.0253913989330945, -0.5185701649928893, -0.20035079798494787, -0.012988015995613444, 1.987442653670951, 3.0788743817188253, 2.0198646696619718, 2.74667581726087, 2.182905586477781, 2.323102631312762, -0.8066995431165553, -0.2812431662042031, -0.12992823128271905, 1.647818143295681, 1.407426731270433, 0.30574331309307173, -0.8260258058910193, 1.2785457339636697, 1.1099796749467896, 0.7271915664154146, 0.07632416419334168, 1.0296925120281704, -1.4858786732084188, 0.3375576617053345, 1.5306549884611644, -0.013805036103322336, 0.9835098175113622, 1.9476600810930234, 1.4660882223633498, -0.5255740319125494, 2.903381729437418, 2.5841034123454154, 1.1903067364947069, 1.3029487865569234, -1.3505271804372962, 1.3449661355683216, 0.9121284843329688, 2.6968399467983417, -2.359902542147303, 1.6898943732686358, -2.502691898088083, 1.2035502885447333, 0.8273869616466425, 1.5934821149770317, -2.693986724962229]",Simulated Annealing,TC_MK01_NORMAL
30054,0.29888391494750977,48.0,47.0,"[1.088291312722014, 0.3724557972747383, 1.6133241760223125, 1.316470993330197, 2.0413637766960027, 2.7202645132729275, -0.14987141467470036, 0.5260354715836338, -0.2794891519866955, 2.645680909545853, -2.038711389002969, -0.13929304338160978, 0.5379839059288857, -1.700241671386076, 1.4862380479132578, -0.3292088186555375, 0.2265294623454851, -0.4570042687479836, -0.8979580966904255, 0.5356341710871814, -0.0477028939003424, 1.5013267633578502, -0.13200277734739943, -1.1083476404556325, 2.1618563229760923, 0.8356203518641042, 1.9364106444488498, 0.943843355510283, 1.1116118492290885, -0.9894768968753292, -0.2469989387036024, 0.46543982423079516, 1.2782780393606614, 1.779288789453907, -1.4618542140450081, 1.1354110900166745, 2.1525622342690944, 1.0201654174062011, 0.6515502873704018, 0.7728308232570672, 1.146074072307709, -1.2686527159188843, -0.3997059957197139, -0.04407287587610312, -0.40276852301027677, 2.0422507817686855, 0.6072987687792042, 2.5045982994180713, 1.4259927564525001, 0.9712707669958106, -1.0038838479825616, 0.4123272595517248, -1.7691657006426451, 2.1387359587595194, 0.4293594978964665, 1.0373618146689494, 0.34160235829336927, 1.0972042651254343, -0.5004281193853295, 2.0428830663905955, 0.8780374351429715, 0.601131514720945, 1.6128660347070807, 0.9640974976316848, 0.9445872796394875, -0.1478325533659928, -0.7103275484654192, 1.9130706415667047, 0.3750669532255143, -0.4674556895832871]",Simulated Annealing,TC_MK01_NORMAL
35063,0.3030366897583008,49.0,47.0,"[-0.3776395031890466, 2.1963041438415187, -1.992686020778427, -1.636707894346196, 2.398373043839365, -0.18061396725475573, -2.0342262511990024, -1.5158225456943075, 2.3508161927032485, -0.9274743123973785, -0.42617620062889594, 1.8659051067980412, 1.7232525374524286, 1.9225214087615774, -0.6294038825231626, 1.273898484654529, -1.37559905984816, -0.8512569364955426, 4.941354669893679, -0.7018481266856709, -0.6374395427155451, -0.090400713913526, 0.03175993133280969, 1.339179398990206, -0.6989968078799592, 0.28442901309666707, 2.3716653714381364, 3.251864265667494, 0.1666117718103064, -0.779089249247366, -1.4114541448967228, 1.0735304290980083, -0.07492024197067787, -0.9143096426531505, 0.09344875980608264, 0.1916247383154133, 1.584600908319364, -0.5628080876114583, 0.3074596794479837, 0.6229438405361416, 0.6446325312681287, 0.4572619491311139, 3.3258314756316953, 0.5640748833749163, 0.18679812243152377, 1.0869209226246717, 2.9628668968227356, 0.2855296361895866, 1.370204768789408, -1.0288916132470158, -1.3692396843800885, 1.4731417089420904, -1.588244413273073, 1.3983813199266888, 1.2195835676371547, -0.14427423733173345, -0.874348038504972, 0.1482806289036302, 1.1777284450175836, -2.925877594405603, 1.373940431142023, -1.7632477700285438, 0.8914882015347347, 2.596695990843379, 2.0634947709896747, 1.7792678315449182, 1.1745685758638562, -1.2381184211790033, 2.2084698558179143, 2.94990916537962]",Simulated Annealing,TC_MK01_NORMAL
40072,0.29191017150878906,49.0,47.0,"[-1.9543749932176917, 0.8945485851632772, 2.9688451030637486, -0.5733628399602491, -0.7913783772473226, 1.1893464675888787, -0.00013568768506961454, 0.6672630616840775, 0.1262914205535855, -0.18215680838853865, 1.4176511788185384, 1.340255285553169, 0.46571413373787884, -1.8600893545764667, 2.246064993049525, 0.13680124776565586, 0.6509574738941016, 1.7790309605046823, -0.5027270413489899, 1.4428330614496199, 0.3656882760465864, 0.9298339951994523, 4.817315820521, -0.3432541221641684, 1.081770566663015, 0.6072523874514695, 2.3553423181058744, 0.8182754647151912, 2.518821862530804, 0.6888078385355578, 1.8993262756053617, -0.3586077640184911, 2.0529013344252567, 0.9026703687094451, -0.23129253544759523, -0.4222242021591681, -1.6131343306173391, 0.9345467243694751, 0.7563673789064639, -1.5326353358137255, 0.46739185816562, 0.602668204286482, 2.410305175917453, -0.31339482367437355, -1.201863591890957, -0.8012597819216364, 0.9312373728821056, 0.1619905868658901, -0.4710574343856523, 0.836345616460048, 0.6939036787352336, -0.7859549835148765, 2.413067417591271, 0.4102510351798976, 0.5219236005945981, 0.9949078506006972, 0.30858762220630975, 1.421423866744114, 0.12404223431566816, 3.2257631883595543, -0.4897330979574436, 1.1887579902491268, 1.077931158738036, 0.07706286135187275, 0.6556108725927297, 0.7708110294119426, 0.678143324386845, -0.07978272611383036, -0.4457129366077683, -0.5932867287549822]",Simulated Annealing,TC_MK01_NORMAL
45081,3.2325618267059326,48.0,47.0,"[0.32403247029073645, 2.647938326504899, 0.8933675641546701, 1.413985397273254, 0.6087134173827204, 0.8423177680691324, 0.7957261915942141, 1.1833267737746096, 0.30840630661665436, 0.12058097353561524, 0.6857124129411921, 0.6404025065484092, -0.02336903733878653, 0.7002325889089502, -0.382620810478791, 2.4454013696767873, -1.1341555510962864, 0.45294204944493943, 0.3108761215416254, 1.0684369855723694, 1.4401782847820028, 1.1571462079495403, 0.5003726759992867, -0.019959445714737872, -0.7072115606773256, 0.28687908596354494, 0.15030629306239604, -1.686939551139098, 0.4358843780910956, 1.0048134076999888, -0.3908017081060248, -0.5515848313383098, 0.9227341276958673, 0.5230185511843815, 0.6231959132610511, -0.37464417361647623, 0.4359045285461555, -0.5504436149420584, 0.5810618454313712, -0.882313347251396, 1.7034770365852476, 0.7593119726959591, 1.2080676431295465, 1.9425835247525798, 1.408916329349084, 0.6444078415575846, 2.190562202219561, 0.9172632964093439, -0.8900285780010845, 1.1655235973528175, 0.9609229629006988, 0.29411399131798144, 0.8918712272206333, -0.1477549987099217, -0.29265540705316273, -0.6653377455289187, 2.568020931488394, -0.6539945384407932, -1.1831551146527428, 0.6793424215255417, 1.585354968631307, -0.5056307017620952, 1.4731576223733556, 1.8368385322840781, 1.1131219446352998, 1.6071718800476196, 1.2418576141064448, -0.6465884372182427, -0.3101807514377669, 1.157705868871827]",Simulated Annealing,TC_MK01_NORMAL
50090,0.2916395664215088,49.0,47.0,"[0.6954165979281179, 0.7324987393850115, -0.7290439306198886, 1.0495890835157167, -0.4595226215919569, -0.6712888736889095, 1.653614682865106, -0.010508835298498831, 0.953547907011242, -0.31620493284303974, 0.1213013823497456, 0.8457383315498529, -0.2500099825232604, -0.7414205186392595, 1.5271899755879403, -0.773961302906617, 2.0807072815477845, -1.8054251246805737, 1.144199246033208, -0.6635549961308702, 2.0416178322811445, -0.7978455829665264, 0.4964237079157473, 2.1176999094146707, -0.33146825746906516, -0.6240011167826225, -0.5391894827859072, 0.9173635035255859, 1.2286853036998453, 0.7078304226043892, 0.6586436137771743, 0.8459578160630249, 0.019076425808525824, 0.6902680345001546, 0.7697367222936686, -0.07938168282436556, 0.6509970619763593, -1.7071781746093693, 0.3392409570293515, 0.8992929887703534, 0.4812734844535535, 2.4176525551447043, 0.7156113223581548, 1.450115555873071, 1.4501341997392092, -1.1233193795869676, 0.9256215409870079, 3.590677412918622, 0.08347216622552928, -1.1731901563685612, 0.16413025318455188, 0.3021728111022434, 1.6133089726035346, -1.9260900147009477, -0.05421155490380519, -1.8985304732005628, 0.7193328132583882, 2.4859341879333723, 0.8917954266477537, 2.217242007756341, 1.5887651125350342, -0.022109717087196334, 2.7196087424685556, -1.2790205958945875, 1.7747738970741394, 0.19157485360849996, 0.5820920448040969, 1.4592283839728382, 0.5830916235183623, -1.1918399131932171]",Simulated Annealing,TC_MK01_NORMAL
